வடமொழிபெயர்,அஸ்வினி,அப்பரணி,கிருத்திகை,ரோகிணி,மிருகசீரா,ஆருத்ரா,புனர்வசு,புஷ்ய,ஆஸ்லேஷா
உருவம்,குதிரைமுகம்,முக்கோணம்,கத்தி,வண்டி,மான்தலை,தளிர்,குளம்,"மாலை,அம்பு",பாம்பு
கணம்,தேவ,மனுஷ,ராஷச,மனுஷ,தேவ,மனுஷ,தேவ,தேவ,ராஷஸ
மிருகம்,ஆண்குதிரை,ஆண்யானை,பெண்ஆடு,ஆண்நாகம்,பெண்சாரை,ஆண்நாய்,பெண்பூனை,ஆண்ஆடு,பெண்பூனை
பறவை,ராஜாளி,காகம்,மயில்,ஆந்தை,கோழி,அன்றில்,அன்னம்,நீர்காகம்,சிட்டுக்குருவி
நாடி,பார்சுவ,மத்திய,சமான,பார்சுவ,மத்திய,பார்சுவ,பார்சுவ,மத்திய,சமான
மரம்,எட்டி,நெல்லி,அத்தி,நாவல்,கருங்காலி,செங்காலி,மூங்கில்,அரசு,புன்னை
ரஜ்ஜு,பாதம்,தொடை,வயிறு,கழுத்து,தலை,கழுத்து,வயிறு,தொடை,பாதம்
வேதை,கேட்டை,அனுஷம்,விசாகம்,சுவாதி,சித்திரைஅவிட்டம்,திருவோணம்,உத்ராடம்,பூராடம்,மூலம்
நிறம்,கருப்பு,வெண்மை,சிவப்பு,கருப்பு,வெண்மை,சிவப்பு,கருப்பு,வெண்மை,சிவப்பு
பாலினம்,ஆண்,பெண்,பெண்,ஆண்,திருநங்கை,பெண்,ஆண்,ஆண்,பெண்
கோள்,கேது,சுக்கிரன்,சூரியன்,சந்திரன்,செவ்வாய்,ராகு,குரு,சனி,புதன்
தசை,ஆண்டுகள் 7,ஆண்டுகள் 20,ஆண்டுகள் 6,ஆண்டுகள் 10,ஆண்டுகள் 7,ஆண்டுகள் 18,ஆண்டுகள் 16,ஆண்டுகள் 19,ஆண்டுகள் 17
அதிதேவதை,அஸவின்தேவா,யமன்,அக்னி,பிரஜாபதி,சந்திரன்,ருத்ரன்,அதிதி,குரு,ஸர்ப்பம்
தேவதை,சரஸ்வதி,துர்க்கை,அக்னி,பிரம்மா,சந்திரன்,பரமசிவன்,அதிதி,பிரகஸ்பதி,ஆதிசேஷன்
பஞ்சபூதம்,ப்ருத்வி,ப்ருத்வி,ப்ருத்வி,ப்ருத்வி,ப்ருத்வி,நீர்,நீர்,நீர்,நீர்
பார்வை,சமநோக்கு,கீழ்நோக்கு,கீழ்நோக்கு,மேல்நோக்கு,சமநோக்கு,மேல்நோக்கு,சமநோக்கு,மேல்நோக்கு,கீழ்நோக்கு
வலம்--இடம்,வலவோட்டு,வலவோட்டு,வலவோட்டு,இடவோட்டு,இடவோட்டு,இடவோட்டு,வலவோட்டு,வலவோட்டு,வலவோட்டு
விஷநாடி,50-54 நாழிகை,24-28 நாழிகை,30-34 நாழிகை,40-44 நாழிகை,14-18 நாழிகை,21-25 நாழிகை,30-34 நாழிகை,10 -- 14 நாழிகை,12 -- 16 நாழிகை
குணம்,தாமஸம்,ராஜஸம்,ராஜஸம்,ராஜஸம்,தாமஸம்,தாமஸம்,சாத்வீகம்,தாமஸம்,சாத்வீகம்
